grid_size,impl,num_threads,time,confidence_interval
32,seq,1,.000705,0
64,seq,1,.002872,0
128,seq,1,.011755,0
256,seq,1,.046723,0
512,seq,1,.191314,.004953
1024,seq,1,.769324,.009434
2048,seq,1,3.068454,.014196
4096,seq,1,12.126987,.040865
32,omp,1,.000748,0
32,omp,2,.000424,0
32,omp,4,.000290,0
32,omp,8,.000387,0
32,omp,16,.001846,0
32,omp,32,.003571,0
64,omp,1,.002964,0
64,omp,2,.001523,0
64,omp,4,.000904,0
64,omp,8,.000855,0
64,omp,16,.002443,0
64,omp,32,.004071,0
128,omp,1,.012111,0
128,omp,2,.006694,.001011
128,omp,4,.003368,0
128,omp,8,.003360,0
128,omp,16,.004606,0
128,omp,32,.006071,0
256,omp,1,.047770,0
256,omp,2,.024203,0
256,omp,4,.012853,.000714
256,omp,8,.013733,.002947
256,omp,16,.012221,0
256,omp,32,.013890,0
512,omp,1,.195167,.004578
512,omp,2,.097602,0
512,omp,4,.056010,.008699
512,omp,8,.047840,.001750
512,omp,16,.042564,0
512,omp,32,.040003,0
1024,omp,1,.775330,.004849
1024,omp,2,.390667,.001429
1024,omp,4,.205015,.006555
1024,omp,8,.184212,0
1024,omp,16,.162272,.001599
1024,omp,32,.143923,0
2048,omp,1,3.123229,.016711
2048,omp,2,1.578376,.024590
2048,omp,4,.790306,.004953
2048,omp,8,.737891,.009380
2048,omp,16,.621541,.004349
2048,omp,32,.561380,.006745
4096,omp,1,12.288760,.036619
4096,omp,2,6.198285,.027804
4096,omp,4,3.320094,.225105
4096,omp,8,2.939376,.007222
4096,omp,16,2.316637,.016216
4096,omp,32,2.175557,.008432
32,pth,1,.001579,0
32,pth,2,.001699,0
32,pth,4,.002429,0
32,pth,8,.006002,0
32,pth,16,.012240,0
32,pth,32,.024882,0
64,pth,1,.004040,0
64,pth,2,.002889,0
64,pth,4,.003067,0
64,pth,8,.006272,0
64,pth,16,.012261,0
64,pth,32,.024678,0
128,pth,1,.013195,0
128,pth,2,.007484,0
128,pth,4,.005224,0
128,pth,8,.007468,0
128,pth,16,.012772,0
128,pth,32,.024902,0
256,pth,1,.067175,.014214
256,pth,2,.025937,0
256,pth,4,.014672,0
256,pth,8,.015281,0
256,pth,16,.017745,0
256,pth,32,.026503,0
512,pth,1,.198787,.002476
512,pth,2,.101194,0
512,pth,4,.052578,0
512,pth,8,.050090,0
512,pth,16,.043607,0
512,pth,32,.049621,0
1024,pth,1,.776519,.003198
1024,pth,2,.395805,.002476
1024,pth,4,.204216,.001429
1024,pth,8,.191517,.006396
1024,pth,16,.154722,.000714
1024,pth,32,.155523,.001891
2048,pth,1,3.067754,.008091
2048,pth,2,1.563511,.009075
2048,pth,4,.798271,.006068
2048,pth,8,.743270,.006152
2048,pth,16,.624923,.009647
2048,pth,32,.580782,.008699
4096,pth,1,12.274873,.016324
4096,pth,2,6.340145,.078403
4096,pth,4,3.369423,.095483
4096,pth,8,2.937988,.005765
4096,pth,16,2.539036,.045543
4096,pth,32,2.176074,.013187
